Country,UHC index of service coverage (SCI),"UHC SCI components: Reproductive, maternal, newborn and child health",UHC SCI components:  Infectious diseases,UHC SCI components: Noncommunicable diseases,UHC SCI components: Service capacity and access
Afghanistan,37,44,32,56,24
Albania,59,45,69,56,69
Algeria,78,75,78,69,91
Angola,40,45,23,68,35
Antigua and Barbuda,73,86,65,72,70
Argentina,76,88,64,67,89
Armenia,69,67,64,55,98
Australia,87,91,82,75,100
Austria,79,91,79,62,88
Azerbaijan,65,49,65,60,94
Bahamas,75,85,64,71,81
Bahrain,77,85,64,66,98
Bangladesh,48,58,39,57,42
Barbados,77,88,72,72,78
Belarus,76,91,68,58,96
Belgium,84,94,81,69,94
Belize,64,79,53,72,56
Benin,40,46,35,73,21
Bhutan,62,84,55,62,53
Bolivia (Plurinational State of),68,70,49,79,82
Bosnia and Herzegovina,61,64,65,43,78
Botswana,61,67,72,62,47
Brazil,79,77,70,71,99
Brunei Darussalam,81,92,77,71,88
Bulgaria,66,81,60,44,87
Burkina Faso,40,57,44,64,15
Burundi,42,58,57,69,13
Cabo Verde,69,80,55,62,83
Cambodia,60,73,66,68,38
Cameroon,46,48,47,75,26
Canada,89,94,82,81,100
Central African Republic,33,37,36,55,16
Chad,28,28,27,65,12
Chile,70,92,74,38,94
China,79,86,69,65,100
Colombia,76,82,61,77,85
Comoros,52,49,59,69,37
Congo,39,49,27,69,24
Costa Rica,77,87,68,78,77
Côte d'Ivoire,47,51,47,70,30
Croatia,71,86,71,46,89
Cuba,83,95,77,65,100
Cyprus,78,94,75,54,97
Czechia,76,93,69,53,98
Democratic People's Republic of Korea,71,90,65,74,58
Democratic Republic of the Congo,41,42,43,69,24
Denmark,81,94,66,71,96
Djibouti,47,53,39,68,34
Dominican Republic,74,83,63,77,75
Ecuador,77,81,64,78,86
Egypt,68,81,51,58,89
El Salvador,76,82,66,76,79
Equatorial Guinea,45,39,37,66,43
Eritrea,38,51,35,72,17
Estonia,75,89,74,55,89
Eswatini,63,76,69,65,46
Ethiopia,39,46,34,81,19
Fiji,64,80,68,46,68
Finland,78,93,59,69,98
France,78,96,71,56,96
Gabon,49,62,25,66,56
Gambia,44,60,39,64,25
Georgia,66,73,64,45,90
Germany,83,94,79,64,99
Ghana,47,68,31,79,31
Greece,75,86,79,50,91
Grenada,72,81,73,71,64
Guatemala,55,71,56,72,32
Guinea,37,41,40,67,17
Guinea-Bissau,40,54,30,67,24
Guyana,72,81,68,72,70
Haiti,49,51,51,75,30
Honduras,65,79,66,76,45
Hungary,74,89,68,53,94
Iceland,84,92,81,74,90
India,55,70,45,64,46
Indonesia,57,79,36,58,65
Iran (Islamic Republic of),72,85,49,72,88
Iraq,61,63,57,62,65
Ireland,76,93,60,68,88
Israel,82,89,80,68,93
Italy,82,86,82,67,96
Jamaica,65,85,36,76,74
Japan,83,85,79,71,100
Jordan,76,78,79,66,80
Kazakhstan,76,87,75,56,90
Kenya,55,71,49,69,39
Kiribati,41,68,54,13,59
Kuwait,76,83,76,57,95
Kyrgyzstan,70,76,62,60,82
Lao People's Democratic Republic,51,59,54,61,35
Latvia,71,88,65,47,97
Lebanon,73,74,73,57,93
Lesotho,48,77,46,57,28
Liberia,39,64,26,61,22
Libya,64,66,50,61,86
Lithuania,73,86,67,54,92
Luxembourg,83,94,78,68,96
Madagascar,28,55,11,64,15
Malawi,46,72,47,69,19
Malaysia,73,76,68,62,89
Maldives,62,55,60,67,67
Mali,38,50,42,64,15
Malta,82,93,79,66,92
Mauritania,41,47,44,66,21
Mauritius,63,69,53,52,80
Mexico,76,83,71,72,80
Micronesia (Federated States of),47,67,67,13,77
Mongolia,62,82,37,56,89
Montenegro,68,71,64,57,82
Morocco,70,73,73,67,70
Mozambique,46,57,47,66,25
Myanmar,61,71,62,65,48
Namibia,62,73,58,63,54
Nepal,48,74,58,62,20
Netherlands,86,94,85,69,98
New Zealand,87,91,81,76,99
Nicaragua,73,82,62,77,73
Niger,37,54,35,65,15
Nigeria,42,40,37,78,27
Norway,87,95,85,71,100
Oman,69,63,55,72,91
Pakistan,45,63,31,54,38
Panama,79,83,65,80,89
Papua New Guinea,40,56,33,46,29
Paraguay,69,85,58,72,63
Peru,77,75,69,83,81
Philippines,61,69,53,64,58
Poland,75,87,70,58,90
Portugal,82,92,81,61,97
Qatar,68,82,64,61,68
Republic of Korea,86,89,84,72,99
Republic of Moldova,69,81,55,57,89
North Macedonia,72,70,70,57,97
Romania,74,75,75,58,91
Russian Federation,75,86,66,56,100
Rwanda,57,63,71,71,33
Saint Lucia,68,81,65,67,59
Saint Vincent and the Grenadines,71,91,65,74,59
Samoa,58,63,70,51,51
Sao Tome and Principe,55,74,46,74,35
Saudi Arabia,74,73,66,63,100
Senegal,45,62,58,70,17
Serbia,65,75,75,42,76
Seychelles,71,67,65,62,95
Sierra Leone,39,69,36,62,15
Singapore,86,90,77,78,100
Slovakia,77,89,76,52,98
Slovenia,79,92,77,59,92
Solomon Islands,47,67,49,39,39
Somalia,25,15,29,64,15
South Africa,69,79,62,58,80
South Sudan,31,28,26,69,18
Spain,83,93,79,65,98
Sri Lanka,66,78,57,74,58
Sudan,44,52,33,67,33
Suriname,71,74,59,73,78
Sweden,86,92,84,74,98
Switzerland,83,94,76,68,97
